Noms des États avec drapeau et noms officiels ,"Superficie1
(km²) 2015 ","Population1
estimation 2017 ","Densité1
(hab. par km²) est. 2017 ",Capitale 
Érythrée (Dawlat Iritriya (ar) (fr)) ,121320,5869970,50,Asmara 
Éthiopie (YeItyopya Federalawi Dimokrasiyawi Ripeblik (am) (fr)) ,1127127,105350020,88,Addis-Abeba 
 Somalie (Jamhuuriyadda Federaalka Soomaaliya (so) (fr)) ,637657,1259029,18,Mogadiscio 
Djibouti (République de Djibouti (fr)) ,25030,810179,21,Djibouti 
Soudan du Sud (Republic of South Sudan (en) (fr)) ,619745,12530717,"20,2",Djouba 
Kenya (Jamhuri ya Kenya (sw) (fr)) ,580367,41800000,"72,02",Nairobi 
Ouganda (Jamhuri ya Uganda (sw) (fr)) ,241550,41487965,172,Kampala 
Tanzanie (Jamhuri ya Muungano wa Tanzania (sw) (fr)) ,945087,57310019,52,Dodoma 
Rwanda (Jamhuri ya Rwanda (sw) (fr)) ,26338,12187400,"462,7",Kigali 
Burundi (Jamhuri ya burundi (sw) (fr)) ,27834,11099298,"398,7",Gitega 
Seychelles (Repiblik Sesel (crs) (fr)) ,455,92430,"203,1",Victoria 
Soudan du Nord(Republic of South Sudan (en) (fr)) ,1886068,32161000,"17,1", Khartoum
